CHANNEL'S NAME,START DATE,START TIME,DURATION,TITLE,SYNOPSIS INDONESIA,SYNOPSIS ENGLISH
AFC,09/02/2013,14:30,00:30,Makan Angin 1; Ep 3
AFC,09/02/2013,15:00,00:30,Back To The Streets 1; Ep 10
AFC,09/02/2013,15:30,00:30,The Boss 2; Ep 8
AFC,09/02/2013,16:00,01:00,Iron Chef; Ep 1
AFC,09/02/2013,17:00,01:00,Food Fighters 2; Ep 1
AFC,09/02/2013,18:00,01:00,The Opener 2; Ep 6
AFC,09/02/2013,19:00,00:30,Fresh With Anna Olson; Ep 2
AFC,09/02/2013,19:30,00:30,Martin Yan's China; Ep 19
AFC,09/02/2013,20:00,00:30,Great Dinners Of World; Ep 5
AFC,09/02/2013,20:30,00:30,True Passion: Martin Yan; Ep 8
AFC,09/02/2013,21:00,01:00,Best Wan: Chinese New Year
AFC,09/02/2013,22:00,01:00,Iron Chef; Ep 1
AFC,09/02/2013,23:00,01:00,Big Fat Reality 1; Ep 1
AFC,10/02/2013,00:00,00:30,After Hours With Daniel; Ep 1
AFC,10/02/2013,00:30,00:30,Forever Summer; Nigella; Ep 7
AFC,10/02/2013,01:00,01:00,River Cottage Summer's ; Ep 1
AFC,10/02/2013,02:00,00:30,Food Truck 1; Ep 4
AFC,10/02/2013,02:30,00:30,Makan Unlimited; Ep 12
AFC,10/02/2013,03:00,01:00,Fat Man In A White Hat 1; Ep 1
AFC,10/02/2013,04:00,00:30,French Food At Home 2; Ep 18
AFC,10/02/2013,04:30,00:30,Chef At Home 4; Ep 11
AFC,10/02/2013,05:00,01:00,Restaurant Makeover 3; Ep 13
AFC,10/02/2013,06:00,01:00,Conviction Kitchen 1; Ep 1
AFC,10/02/2013,07:00,00:30,Back To The Streets 1; Ep 10
AFC,10/02/2013,07:30,00:30,Meat And Greed; Ep 4
AFC,10/02/2013,08:00,00:30,Food Truck 1; Ep 4
AFC,10/02/2013,08:30,00:30,After Hours With Daniel; Ep 1
